X,Y,ruta,parada,label,itinerario,objectid,linea
-8410702.06479555,699497.314022269,C6-019A,Calle 78 45 -10,Calle 78 45 -10,C6-019A Parada Gardel,1677,C6-019A Jardín – Parada Gardel
-8410776.25449079,699152.966067482,C6-019A,Cll 72A con Cra. 45,Cll 72A con Cra. 45,C6-019A Parada Gardel,1678,C6-019A Jardín – Parada Gardel
-8410776.25449079,699152.966067482,C6-019A,Cll 72A con Cra. 45,Cll 72A con Cra. 45,C6-019A Jardín,1679,C6-019A Jardín – Parada Gardel
-8410604.32908024,699226.720087573,C6-019A,Cra 44 con Cll 74,Cra 44 con Cll 74,C6-019A Jardín,1680,C6-019A Jardín – Parada Gardel
-8410326.97057371,699426.990344308,C6-019A,Cll.78 con Cra.41,Cll.78 con Cra.41,C6-019A Jardín,1681,C6-019A Jardín – Parada Gardel
-8410121.38894784,699458.007427473,C6-019A,Cra. 40 con Cll 78,Cra. 40 con Cll 78,C6-019A Jardín,1682,C6-019A Jardín – Parada Gardel
-8409897.65266062,699497.620072782,C6-019A,Cra. 36C con Cll 79B,Cra. 36C con Cll 79B,C6-019A Jardín,1683,C6-019A Jardín – Parada Gardel
-8409691.07471084,699563.242764715,C6-019A,Cra 32 con Cll 80,Cra 32 con Cll 80,C6-019A Jardín,1684,C6-019A Jardín – Parada Gardel
-8409698.10522875,699703.738654803,C6-019A,Cra 32 con Cll 82,Cra 32 con Cll 82,C6-019A Jardín,1685,C6-019A Jardín – Parada Gardel
-8409785.15339584,699975.447938558,C6-019A,Cra 36 con Cll 84B,Cra 36 con Cll 84B,C6-019A Jardín,1686,C6-019A Jardín – Parada Gardel
-8408690.39658755,699395.190477852,C6-022,Cra. 24 con Cll 75C,Cra. 24 con Cll 75C,C6-022 Estación Prado,1687,C6-022 Las Partidas - Estación Prado
-8408675.90360927,699312.856119059,C6-022,Cra. 25 con Cll 75C,Cra. 25 con Cll 75C,C6-022 Estación Prado,1688,C6-022 Las Partidas - Estación Prado
-8408811.51652387,699315.838660982,C6-022,Cra 25. con Cll. 75C,Cra 25. con Cll. 75C,C6-022 Estación Prado,1689,C6-022 Las Partidas - Estación Prado
-8408873.90962149,699240.412273444,C6-022,Cra 25. con Cll. 75C,Cra 25. con Cll. 75C,C6-022 Estación Prado,1690,C6-022 Las Partidas - Estación Prado
-8409061.65771072,699301.505894009,C6-022,Cra. 25 con Cll 75C,Cra. 25 con Cll 75C,C6-022 Estación Prado,1691,C6-022 Las Partidas - Estación Prado
-8409186.89815712,699382.161720823,C6-022,Cra 26 con Cll 77,Cra 26 con Cll 77,C6-022 Estación Prado,1692,C6-022 Las Partidas - Estación Prado
-8409236.03943489,699328.253272008,C6-022,Cra. 27C con Cll 77C,Cra. 27C con Cll 77C,C6-022 Estación Prado,1693,C6-022 Las Partidas - Estación Prado
-8409356.91650391,699519.601968504,C6-022,Cra. 27C con Cll 79B,Cra. 27C con Cll 79B,C6-022 Estación Prado,1694,C6-022 Las Partidas - Estación Prado
-8409350.85290202,699347.48315974,C6-022,Cra 28 con Cll 79,Cra 28 con Cll 79,C6-022 Estación Prado,1695,C6-022 Las Partidas - Estación Prado
-8409415.61392987,699262.591603961,C6-022,Cra. 30 con Cll 76,Cra. 30 con Cll 76,C6-022 Estación Prado,1696,C6-022 Las Partidas - Estación Prado
-8409607.58998668,699265.838384103,C6-022,Cll.77 con Cra.31,Cll.77 con Cra.31,C6-022 Estación Prado,1697,C6-022 Las Partidas - Estación Prado
-8409857.70266947,699220.846385535,C6-022,Cll. 75B con Cra. 36,Cll. 75B con Cra. 36,C6-022 Estación Prado,1698,C6-022 Las Partidas - Estación Prado
-8409998.17021613,699301.636413496,C6-022,Cra. 35 con Cll 75A,Cra. 35 con Cll 75A,C6-022 Estación Prado,1699,C6-022 Las Partidas - Estación Prado
-8410005.76282295,699019.912504982,C6-022,Cra.37 con Cll 71A,Cra.37 con Cll 71A,C6-022 Estación Prado,1700,C6-022 Las Partidas - Estación Prado
-8410318.73953958,698926.399291739,C6-022,Cra.41 con Cll 71,Cra.41 con Cll 71,C6-022 Estación Prado,1701,C6-022 Las Partidas - Estación Prado
-8410622.5500805,698557.584351368,C6-022,Cra. 43 con Cll. 67,Cra. 43 con Cll. 67,C6-022 Estación Prado,1702,C6-022 Las Partidas - Estación Prado
-8410826.37795365,698449.199054409,C6-022,Cra.45 con Cll.67,Cra.45 con Cll.67,C6-022 Estación Prado,1703,C6-022 Las Partidas - Estación Prado
-8411395.80514477,698662.79835115,C6-022,Cll.67 con Cra.50,Cll.67 con Cra.50,C6-022 Estación Prado,1704,C6-022 Las Partidas - Estación Prado
-8411717.73097354,698591.161732528,C6-022,Hospital Cra.51 con Cll. 66,Hospital Cra.51 con Cll. 66,C6-022 Estación Prado,1705,C6-022 Las Partidas - Estación Prado
-8411937.76513293,697983.774221852,C6-022,Cra. 51 con Cll.58 (Integraciòn Prado),Cra. 51 con Cll.58 (Integraciòn Prado),C6-022 Estación Prado,1706,C6-022 Las Partidas - Estación Prado
-8411937.76513293,697983.774221852,C6-022,Cra. 51 con Cll.58 (Integraciòn Prado),Cra. 51 con Cll.58 (Integraciòn Prado),C6-022 Las Partidas,1707,C6-022 Las Partidas - Estación Prado
-8411699.78518858,698584.058957163,C6-022,Cra. 51 con Cll. 66-89,Cra. 51 con Cll. 66-89,C6-022 Las Partidas,1708,C6-022 Las Partidas - Estación Prado
-8411407.5251022,698644.098991103,C6-022,Cll.67 con Cra.50,Cll.67 con Cra.50,C6-022 Las Partidas,1709,C6-022 Las Partidas - Estación Prado
-8410935.77033558,698448.770654153,C6-022,Cll 66 con Cra. 45,Cll 66 con Cra. 45,C6-022 Las Partidas,1710,C6-022 Las Partidas - Estación Prado
-8410578.16095462,698550.789901167,C6-022,Cra. 43 con Cll. 67,Cra. 43 con Cll. 67,C6-022 Las Partidas,1711,C6-022 Las Partidas - Estación Prado
-8410319.86983415,698896.331343897,C6-022,Cra.41 con Cll 70A,Cra.41 con Cll 70A,C6-022 Las Partidas,1712,C6-022 Las Partidas - Estación Prado
